Model,Noise Type_p_ε,Circuit,RA(%),VT(s),RA(%),VT(s)
mnist49,mixed_0.001_0.0001,c_1,100.00,0.1209,100.00,0.1209
mnist49,mixed_0.001_0.0001,c_2,100.00,0.1292,100.00,0.1293
mnist56,depolarizing_0.0001_0.01,c_0,99.80,0.0494,99.80,0.9288
mnist56,depolarizing_0.0001_0.01,c_1,100.00,0.1292,100.00,0.1293
mnist56,depolarizing_0.0001_0.01,c_2,100.00,0.1326,100.00,0.1327
mnist57,mixed_0.01_0.01,c_0,100.00,0.0391,100.00,0.0391
mnist57,mixed_0.01_0.01,c_1,100.00,0.0635,100.00,0.0635
mnist57,mixed_0.01_0.01,c_2,100.00,0.0636,100.00,0.0638
mnist58,phase-flip_0.01_0.005,c_0,99.70,0.0419,99.90,0.7929
mnist58,phase-flip_0.01_0.005,c_1,100.00,0.1086,100.00,0.1086
mnist58,phase-flip_0.01_0.005,c_2,100.00,0.1049,100.00,0.1049
mnist59,bit-flip_0.05_0.0005,c_0,100.00,0.0404,100.00,0.0404
mnist59,bit-flip_0.05_0.0005,c_1,100.00,0.0463,100.00,0.0463
mnist59,bit-flip_0.05_0.0005,c_2,100.00,0.0438,100.00,0.0439
mnist67,phase-flip_0.01_0.01,c_0,100.00,0.0421,100.00,0.0421
mnist67,phase-flip_0.01_0.01,c_1,100.00,0.0676,100.00,0.0677
mnist67,phase-flip_0.01_0.01,c_2,100.00,0.0678,100.00,0.0679
mnist68,bit-flip_0.025_0.001,c_0,100.00,0.0453,100.00,0.0453
mnist68,bit-flip_0.025_0.001,c_1,100.00,2.3013,100.00,2.3013
mnist68,bit-flip_0.025_0.001,c_2,100.00,2.2995,100.00,2.2995
mnist69,bit-flip_0.01_0.003,c_0,95.30,0.0411,98.20,12.2383
mnist69,bit-flip_0.01_0.003,c_1,100.00,0.0935,100.00,0.0935
mnist69,bit-flip_0.01_0.003,c_2,100.00,0.0869,100.00,0.0869
mnist78,phase-flip_0.0001_0.0005,c_0,100.00,0.0402,100.00,0.0402
mnist78,phase-flip_0.0001_0.0005,c_1,100.00,4.3840,100.00,4.3841
mnist78,phase-flip_0.0001_0.0005,c_2,100.00,4.2895,100.00,4.2896
mnist79,bit-flip_0.0001_0.0005,c_0,100.00,0.0501,100.00,0.0501
mnist79,bit-flip_0.0001_0.0005,c_1,100.00,2.5628,100.00,2.5629
